"","model","itter","acc","kappa","sensW","sensL","sensD"
"1","rf",1,0.55,0.264367816091954,0.789473684210526,0.434782608695652,0.210526315789474
"2","nnet",1,0.65,0.421188630490956,0.868421052631579,0.826086956521739,0
"3","knn",1,0.625,0.376785250584264,0.894736842105263,0.434782608695652,0.315789473684211
"4","NB",1,0.5875,0.337349397590362,0.789473684210526,0.391304347826087,0.421052631578947
"5","mlog",1,0.6375,0.424603174603175,0.763157894736842,0.652173913043478,0.368421052631579
"6","rf",2,0.625,0.414919551438323,0.771428571428571,0.625,0.380952380952381
"7","nnet",2,0.6125,0.384462645817821,0.8,0.875,0
"8","knn",2,0.6,0.374236128086043,0.771428571428571,0.541666666666667,0.380952380952381
"9","NB",2,0.575,0.345996633806203,0.714285714285714,0.458333333333333,0.476190476190476
"10","mlog",2,0.6,0.381044487427466,0.714285714285714,0.625,0.380952380952381
"11","rf",3,0.625,0.399849962490623,0.885714285714286,0.521739130434783,0.318181818181818
"12","nnet",3,0.525,0.250308261405672,0.8,0.347826086956522,0.272727272727273
"13","knn",3,0.6,0.356945491082642,0.885714285714286,0.608695652173913,0.136363636363636
"14","NB",3,0.6125,0.391261659302896,0.771428571428571,0.652173913043478,0.318181818181818
"15","mlog",3,0.6,0.367276322293623,0.828571428571429,0.608695652173913,0.227272727272727
"16","rf",4,0.6875,0.488621835847609,0.868421052631579,0.68,0.294117647058824
"17","nnet",4,0.6625,0.467980295566502,0.763157894736842,0.76,0.294117647058824
"18","knn",4,0.675,0.472750316856781,0.842105263157895,0.68,0.294117647058824
"19","NB",4,0.6875,0.497739829231542,0.868421052631579,0.64,0.352941176470588
"20","mlog",4,0.6875,0.504827927704877,0.789473684210526,0.76,0.352941176470588
"21","rf",5,0.575,0.288702928870293,0.825,0.588235294117647,0.130434782608696
"22","nnet",5,0.6375,0.405737704918033,0.85,0.705882352941177,0.217391304347826
"23","knn",5,0.6,0.335582662860109,0.85,0.647058823529412,0.130434782608696
"24","NB",5,0.5875,0.322729604925603,0.825,0.529411764705882,0.217391304347826
"25","mlog",5,0.6375,0.401444788441692,0.875,0.705882352941177,0.173913043478261
"26","rf",6,0.55,0.30164888457808,0.935483870967742,0.5,0.12
"27","nnet",6,0.6625,0.482758620689655,0.870967741935484,0.708333333333333,0.36
"28","knn",6,0.575,0.339645545035203,0.967741935483871,0.583333333333333,0.08
"29","NB",6,0.625,0.422938206299591,0.935483870967742,0.666666666666667,0.2
"30","mlog",6,0.65,0.460630869251144,0.903225806451613,0.75,0.24
"31","rf",7,0.65,0.431904641136191,0.864864864864865,0.727272727272727,0.19047619047619
"32","nnet",7,0.65,0.419689119170985,0.972972972972973,0.727272727272727,0
"33","knn",7,0.6625,0.444158517756047,0.945945945945946,0.545454545454545,0.285714285714286
"34","NB",7,0.6625,0.448698315467075,0.918918918918919,0.545454545454545,0.333333333333333
"35","mlog",7,0.65,0.427549194991056,0.918918918918919,0.590909090909091,0.238095238095238
"36","rf",8,0.625,0.374511336982017,0.82051282051282,0.590909090909091,0.263157894736842
"37","nnet",8,0.575,0.32,0.717948717948718,0.636363636363636,0.210526315789474
"38","knn",8,0.6125,0.357013222711952,0.769230769230769,0.636363636363636,0.263157894736842
"39","NB",8,0.5875,0.331814730447988,0.743589743589744,0.636363636363636,0.210526315789474
"40","mlog",8,0.6125,0.373262572656053,0.743589743589744,0.681818181818182,0.263157894736842
"41","rf",9,0.625,0.379203310915675,0.921052631578947,0.5,0.2
"42","nnet",9,0.625,0.395770392749245,0.842105263157895,0.5,0.35
"43","knn",9,0.575,0.293506493506493,0.894736842105263,0.409090909090909,0.15
"44","NB",9,0.55,0.263427109974425,0.842105263157895,0.318181818181818,0.25
"45","mlog",9,0.625,0.381443298969072,0.894736842105263,0.545454545454545,0.2
"46","rf",10,0.6125,0.37007874015748,0.864864864864865,0.428571428571429,0.363636363636364
"47","nnet",10,0.6,0.352226720647773,0.918918918918919,0.666666666666667,0
"48","knn",10,0.6,0.34020618556701,0.891891891891892,0.476190476190476,0.227272727272727
"49","NB",10,0.575,0.316582914572864,0.783783783783784,0.380952380952381,0.409090909090909
"50","mlog",10,0.6375,0.417524479035903,0.864864864864865,0.476190476190476,0.409090909090909
"51","rf",11,0.6,0.349262836807321,0.82051282051282,0.6,0.19047619047619
"52","nnet",11,0.6,0.366493442217273,0.769230769230769,0.6,0.285714285714286
"53","knn",11,0.5875,0.309623430962343,0.846153846153846,0.55,0.142857142857143
"54","NB",11,0.6125,0.371992909597367,0.82051282051282,0.55,0.285714285714286
"55","mlog",11,0.6375,0.416352201257862,0.794871794871795,0.75,0.238095238095238
"56","rf",12,0.6625,0.449821701477331,0.767441860465116,0.625,0.384615384615385
"57","nnet",12,0.65,0.454058006336827,0.627906976744186,0.833333333333333,0.384615384615385
"58","knn",12,0.6375,0.41191381495564,0.744186046511628,0.583333333333333,0.384615384615385
